x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4,bluetooch5,bluetooch6
1,10,1x10y,-83.0826,-75.8463,-87.5744,-81.2407,-81.7188,-87.9944
1,10,1x10y,-89.2737,-74.9956,-87.1803,-79.5996,-78.9516,-94.7964
1,10,1x10y,-79.2063,-78.448,-89.4088,-78.3192,-75.725,-83.7717
1,10,1x10y,-85.9933,-76.3673,-96.8828,-84.9161,-74.8597,-88.0278
1,11,1x11y,-89.5261,-77.5382,-85.853,-77.8074,-73.18,-88.0735
1,11,1x11y,-86.7172,-79.0359,-92.5109,-82.5908,-80.0531,-91.3915
1,11,1x11y,-89.7131,-78.6841,-89.003,-79.3485,-71.8977,-90.0959
1,11,1x11y,-88.4469,-75.5545,-96.5293,-86.4499,-76.6847,-88.7128
1,11,1x11y,-88.5911,-79.7326,-91.9194,-85.0855,-74.4814,-88.2046
1,12,1x12y,-85.4423,-76.4688,-85.5358,-82.954,-72.6167,-90.159
1,12,1x12y,-85.1985,-79.2824,-93.5106,-80.3284,-72.6656,-88.0837
1,12,1x12y,-89.6815,-86.4341,-92.1166,-88.1667,-74.4923,-83.0928
1,12,1x12y,-91.4649,-77.5773,-90.8269,-77.5088,-72.8524,-88.1396
1,12,1x12y,-82.2046,-78.0726,-90.131,-80.4171,-70.8045,-87.0846
1,13,1x13y,-85.8293,-75.3143,-91.2198,-85.9394,-71.5004,-91.007
1,13,1x13y,-88.881,-85.3263,-90.0917,-81.1911,-66.2298,-87.0357
1,13,1x13y,-86.4542,-80.1859,-96.0461,-87.3803,-67.7776,-87.2146
1,13,1x13y,-89.0665,-79.2609,-91.3669,-86.5667,-71.8504,-94.3884
1,13,1x13y,-93.1871,-76.699,-92.1418,-86.3219,-69.2335,-89.4265
1,14,1x14y,-86.7045,-88.1606,-96.2502,-87.7045,-72.4456,-93.9828
1,14,1x14y,-89.8254,-89.5057,-96.5325,-81.4363,-72.0343,-87.4405
1,14,1x14y,-90.6517,-87.2985,-95.7482,-83.2604,-74.172,-85.621
1,14,1x14y,-91.5392,-86.8872,-100.1242,-82.4234,-67.3148,-90.1297
1,14,1x14y,-86.6942,-87.9887,-88.6688,-86.3169,-73.2597,-81.8361
1,15,1x15y,-93.5856,-83.2541,-98.4693,-83.6497,-66.3328,-89.4325
1,15,1x15y,-87.418,-86.9414,-89.4651,-83.9928,-69.1813,-89.6278
1,15,1x15y,-93.8947,-89.6437,-101.4312,-81.4137,-70.4777,-83.1898
1,15,1x15y,-88.317,-87.3081,-91.0067,-78.8816,-71.7052,-89.2618
1,15,1x15y,-89.4199,-81.9891,-91.4449,-86.5321,-68.2832,-92.9224
1,16,1x16y,-88.2987,-85.1459,-92.5353,-84.8702,-72.2984,-88.9302
1,16,1x16y,-86.3975,-84.9561,-94.3253,-81.9226,-70.91,-82.6591
1,16,1x16y,-93.4936,-87.5904,-91.1051,-82.8293,-73.0473,-92.3796
1,16,1x16y,-94.4097,-84.7549,-89.9192,-85.0916,-69.0821,-92.0318
1,16,1x16y,-85.0526,-89.8246,-99.5579,-86.8278,-73.1927,-85.4473
1,17,1x17y,-89.8566,-85.2757,-97.5114,-90.8632,-73.2716,-88.8712
1,17,1x17y,-90.5135,-90.2028,-99.8577,-81.9601,-74.3317,-94.5664
1,17,1x17y,-99.9918,-84.4905,-98.8697,-88.5214,-71.5186,-90.5286
1,17,1x17y,-87.672,-85.2165,-99.4409,-84.8743,-69.9227,-88.9155
1,17,1x17y,-95.3044,-90.9808,-92.6391,-82.2686,-71.9125,-90.0385
1,18,1x18y,-99.5828,-88.8887,-91.1428,-93.6963,-71.807,-86.9392
1,18,1x18y,-89.3737,-91.7071,-99.7952,-84.6487,-75.1051,-89.3603
1,18,1x18y,-92.763,-94.3919,-99.6006,-82.5357,-72.2936,-92.2213
1,18,1x18y,-90.1012,-91.7226,-95.5106,-90.8529,-73.5576,-85.7334
1,18,1x18y,-86.273,-85.136,-100.1059,-86.6699,-72.9924,-94.7629
1,19,1x19y,-90.8429,-91.6985,-101.1237,-86.8852,-73.7524,-92.048
1,19,1x19y,-94.0322,-86.9354,-95.0808,-84.4744,-75.0054,-93.3056
1,19,1x19y,-100.9781,-94.987,-90.0229,-90.4245,-71.7275,-91.407
1,19,1x19y,-88.9754,-91.5378,-99.7912,-91.9708,-74.7074,-86.3288
1,19,1x19y,-91.9955,-88.6176,-97.3663,-82.6217,-78.7384,-89.8051
2,1,2x1y,-59.5061,-73.5782,-88.1272,-91.3894,-92.3242,-95.2796
2,1,2x1y,-58.7366,-71.1968,-87.1469,-85.4829,-93.7734,-88.4407
2,1,2x1y,-63.6682,-73.1179,-93.0245,-81.9753,-90.1151,-98.7031
2,1,2x1y,-60.827,-76.8349,-92.2008,-86.8161,-89.9232,-98.6926
2,1,2x1y,-61.0311,-74.5453,-89.2558,-88.893,-91.9933,-88.7927
2,2,2x2y,-64.9172,-64.9248,-86.283,-80.3271,-84.8964,-99.9425
2,2,2x2y,-64.5598,-74.8529,-89.9621,-82.0569,-94.1978,-90.8882
2,2,2x2y,-62.7947,-67.5186,-90.8192,-90.4153,-90.1505,-93.37
2,2,2x2y,-60.9124,-69.3973,-86.787,-79.513,-80.622,-92.8612
2,2,2x2y,-61.7428,-68.7511,-83.303,-91.4649,-92.3827,-98.723
2,3,2x3y,-69.5094,-69.253,-89.1027,-88.5723,-90.1765,-91.3537
